row_id,split,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target
oulad_final_result_1622,train,CCC,2014J,486877,M,South East Region,A Level or Equivalent,60-70%,0-35,0,30,N,Withdrawn
oulad_final_result_0659,train,FFF,2013J,424437,F,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass
oulad_final_result_1210,train,BBB,2013J,471434,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn
oulad_final_result_0571,train,GGG,2014B,621755,F,South East Region,Lower Than A Level,20-30%,0-35,0,30,Y,Pass
oulad_final_result_0164,test,BBB,2013B,502872,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,180,N,Fail
oulad_final_result_0103,train,BBB,2013B,541727,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
oulad_final_result_1903,train,DDD,2014B,522363,F,London Region,HE Qualification,20-30%,35-55,1,120,N,Withdrawn
oulad_final_result_0890,train,BBB,2014B,622766,M,Wales,Lower Than A Level,30-40%,0-35,0,120,N,Fail
oulad_final_result_1480,test,FFF,2013J,548693,M,South West Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
oulad_final_result_0185,train,FFF,2013J,586477,M,London Region,A Level or Equivalent,10-20,0-35,0,120,Y,Pass
oulad_final_result_1921,valid,DDD,2013J,604072,F,South Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass
oulad_final_result_0552,train,DDD,2014J,309350,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,120,Y,Withdrawn
oulad_final_result_0311,train,FFF,2014B,2463282,M,South West Region,Lower Than A Level,70-80%,35-55,1,240,Y,Withdrawn
oulad_final_result_1642,train,BBB,2014B,631442,M,South Region,Lower Than A Level,20-30%,0-35,0,60,Y,Fail
oulad_final_result_0015,valid,GGG,2013J,1516666,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,30,N,Fail
oulad_final_result_0965,valid,FFF,2013J,603030,M,Wales,HE Qualification,80-90%,0-35,0,60,N,Fail
oulad_final_result_0924,valid,FFF,2013J,581614,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
oulad_final_result_1838,train,AAA,2014J,275792,F,East Anglian Region,HE Qualification,50-60%,0-35,0,60,N,Pass
oulad_final_result_1472,train,FFF,2013B,80886,M,North Western Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
oulad_final_result_1828,valid,DDD,2013B,549872,M,North Western Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass
oulad_final_result_0664,valid,EEE,2014B,592080,M,Scotland,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn
oulad_final_result_1027,train,FFF,2014B,624499,M,Ireland,Lower Than A Level,30-40%,0-35,0,90,N,Fail
oulad_final_result_1189,train,GGG,2014J,621485,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,30,N,Pass
oulad_final_result_0694,train,CCC,2014J,622384,M,Scotland,A Level or Equivalent,80-90%,0-35,1,90,Y,Fail
oulad_final_result_0231,train,DDD,2014J,135999,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
oulad_final_result_0348,test,DDD,2013J,444317,F,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
oulad_final_result_1916,train,CCC,2014J,596860,M,North Western Region,HE Qualification,30-40%,35-55,0,90,N,Withdrawn
oulad_final_result_1557,train,BBB,2014B,630561,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
oulad_final_result_0894,test,BBB,2014B,629040,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn
oulad_final_result_0232,train,BBB,2014J,649686,F,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
oulad_final_result_1929,train,GGG,2013J,582709,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,30,N,Distinction
oulad_final_result_1671,valid,FFF,2013B,542987,M,South Region,Lower Than A Level,80-90%,0-35,0,120,N,Fail
oulad_final_result_1435,valid,FFF,2013J,596296,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,90,Y,Fail
oulad_final_result_1647,train,AAA,2013J,603861,M,North Region,HE Qualification,,55<=,0,60,N,Withdrawn
oulad_final_result_0776,train,DDD,2014J,1774297,M,North Western Region,HE Qualification,20-30%,35-55,0,120,N,Pass
oulad_final_result_0498,train,BBB,2013J,48503,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass
oulad_final_result_0107,train,CCC,2014J,609235,M,Scotland,HE Qualification,30-40%,0-35,0,90,N,Distinction
oulad_final_result_0158,train,BBB,2014B,626123,F,South West Region,Lower Than A Level,50-60%,0-35,0,60,Y,Distinction
oulad_final_result_1259,valid,EEE,2014J,681001,F,Scotland,HE Qualification,40-50%,35-55,0,60,Y,Distinction
oulad_final_result_0471,train,CCC,2014J,591891,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,Y,Pass
oulad_final_result_1250,train,FFF,2014J,653372,M,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
oulad_final_result_0129,train,DDD,2013B,440499,M,London Region,HE Qualification,30-40%,55<=,0,60,N,Pass
oulad_final_result_1208,train,BBB,2013B,426838,F,East Anglian Region,Lower Than A Level,10-20,0-35,0,60,N,Pass
oulad_final_result_0559,train,CCC,2014J,2613225,M,Scotland,A Level or Equivalent,80-90%,0-35,0,30,N,Withdrawn
oulad_final_result_1055,train,CCC,2014B,2488713,M,North Western Region,HE Qualification,60-70%,35-55,0,30,N,Withdrawn
oulad_final_result_1970,train,BBB,2013B,557594,F,East Midlands Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
oulad_final_result_0720,train,CCC,2014B,635034,M,South Region,HE Qualification,90-100%,0-35,0,90,N,Withdrawn
oulad_final_result_1196,test,FFF,2014J,653773,M,London Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass
oulad_final_result_0529,train,FFF,2013B,537394,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
oulad_final_result_0868,test,CCC,2014J,546634,F,North Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
oulad_final_result_1156,train,FFF,2014J,419081,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,90,N,Fail
oulad_final_result_1015,train,EEE,2013J,501918,M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
oulad_final_result_1421,test,BBB,2013B,536270,F,Scotland,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
oulad_final_result_0713,valid,BBB,2014J,483508,F,Ireland,Lower Than A Level,50-60%,35-55,0,60,N,Distinction
oulad_final_result_1912,train,GGG,2014B,164211,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,30,N,Distinction
oulad_final_result_0827,test,BBB,2013B,466800,F,Scotland,Lower Than A Level,60-70%,0-35,1,60,N,Withdrawn
oulad_final_result_0387,valid,GGG,2013J,588391,F,East Midlands Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass
oulad_final_result_0553,valid,FFF,2013B,502512,M,East Midlands Region,HE Qualification,10-20,0-35,1,180,N,Pass
oulad_final_result_1565,test,FFF,2013J,447374,M,South West Region,HE Qualification,50-60%,35-55,0,60,N,Withdrawn
oulad_final_result_0141,train,BBB,2014J,647126,F,North Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
oulad_final_result_0119,train,DDD,2014B,470555,M,South West Region,Lower Than A Level,20-30%,0-35,0,60,Y,Withdrawn
oulad_final_result_0966,train,DDD,2014J,526352,F,Wales,A Level or Equivalent,10-20,0-35,2,90,N,Pass
oulad_final_result_1950,train,DDD,2013J,570896,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
oulad_final_result_1323,train,EEE,2013J,965763,M,North Western Region,A Level or Equivalent,50-60%,35-55,0,90,N,Pass
oulad_final_result_1218,train,BBB,2014B,607953,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail
oulad_final_result_1290,train,CCC,2014J,694361,M,Scotland,A Level or Equivalent,60-70%,0-35,0,90,N,Withdrawn
oulad_final_result_1869,test,BBB,2014J,642405,F,South West Region,A Level or Equivalent,70-80%,35-55,0,60,N,Distinction
oulad_final_result_0714,train,CCC,2014J,617341,F,South East Region,A Level or Equivalent,50-60%,0-35,0,90,N,Withdrawn
oulad_final_result_0151,valid,BBB,2014J,230383,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
oulad_final_result_0758,train,CCC,2014B,229499,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,90,N,Fail
oulad_final_result_0624,train,FFF,2014J,489493,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
oulad_final_result_1529,test,BBB,2014B,601862,F,Wales,Lower Than A Level,60-70%,0-35,0,60,N,Pass
oulad_final_result_1476,valid,DDD,2013J,492740,F,Scotland,HE Qualification,50-60%,0-35,0,60,N,Pass
oulad_final_result_1173,train,BBB,2013B,270399,F,South West Region,Lower Than A Level,10-20,0-35,0,60,N,Fail
oulad_final_result_0780,train,GGG,2013J,601581,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,30,N,Fail
oulad_final_result_0075,train,GGG,2014J,386180,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,30,N,Pass
oulad_final_result_1857,train,GGG,2014J,648528,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,90,Y,Pass
oulad_final_result_1874,train,EEE,2014B,1828112,M,West Midlands Region,A Level or Equivalent,10-20,35-55,0,60,N,Fail
oulad_final_result_1744,train,BBB,2014B,477779,F,London Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail
oulad_final_result_1605,train,DDD,2014J,645710,M,West Midlands Region,HE Qualification,40-50%,0-35,0,120,N,Withdrawn
oulad_final_result_1026,train,EEE,2014J,586474,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass
oulad_final_result_1637,train,DDD,2014B,588182,M,South Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail
oulad_final_result_1236,test,EEE,2013J,40508,M,West Midlands Region,A Level or Equivalent,40-50%,35-55,0,90,N,Withdrawn
oulad_final_result_0740,train,BBB,2013J,597255,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Withdrawn
oulad_final_result_1326,valid,FFF,2013J,598761,F,South Region,A Level or Equivalent,70-80%,0-35,0,120,N,Distinction
oulad_final_result_0126,train,DDD,2013J,589875,M,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass
oulad_final_result_0469,valid,DDD,2014B,583348,M,West Midlands Region,A Level or Equivalent,10-20,35-55,0,120,N,Withdrawn
oulad_final_result_0096,train,BBB,2014J,593583,M,Wales,Lower Than A Level,90-100%,35-55,0,120,N,Withdrawn
oulad_final_result_1703,valid,DDD,2014B,539451,M,London Region,Lower Than A Level,10-20,55<=,0,60,N,Pass
oulad_final_result_0479,train,CCC,2014B,2146277,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,90,N,Pass
oulad_final_result_0021,valid,DDD,2013J,390690,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,N,Pass
oulad_final_result_0065,test,CCC,2014B,524295,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
oulad_final_result_1215,train,FFF,2013B,360726,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
oulad_final_result_0530,valid,BBB,2014J,689147,F,Ireland,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
oulad_final_result_1770,train,CCC,2014J,291156,F,London Region,A Level or Equivalent,70-80%,0-35,0,90,N,Withdrawn
oulad_final_result_0980,train,BBB,2013B,554795,F,South West Region,A Level or Equivalent,0-10%,35-55,0,60,N,Distinction
oulad_final_result_0764,train,FFF,2013J,594814,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
oulad_final_result_0188,train,FFF,2013J,2170320,M,North Western Region,Lower Than A Level,50-60%,0-35,0,60,N,Fail
oulad_final_result_1463,train,DDD,2013B,556713,M,London Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn
oulad_final_result_0804,train,DDD,2013J,442589,F,London Region,Lower Than A Level,30-40%,0-35,0,90,N,Pass
oulad_final_result_1067,valid,DDD,2013J,601263,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass
oulad_final_result_0435,valid,FFF,2013B,302924,F,London Region,HE Qualification,10-20,0-35,0,60,N,Pass
oulad_final_result_0440,train,FFF,2013B,428932,F,South West Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Distinction
oulad_final_result_0007,valid,CCC,2014J,630467,M,London Region,HE Qualification,60-70%,35-55,0,60,N,Distinction
oulad_final_result_1758,train,DDD,2014B,2210989,M,London Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction
oulad_final_result_1413,valid,EEE,2014J,581238,M,Yorkshire Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
oulad_final_result_1109,train,DDD,2014B,2636552,F,South East Region,Lower Than A Level,80-90%,0-35,0,90,Y,Withdrawn
oulad_final_result_0828,train,DDD,2014J,2031234,M,South Region,HE Qualification,50-60%,35-55,2,60,N,Withdrawn
oulad_final_result_1564,valid,CCC,2014B,509029,F,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
oulad_final_result_1048,train,FFF,2014J,643653,F,South Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass
oulad_final_result_0310,train,DDD,2013J,548027,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
oulad_final_result_1232,valid,FFF,2014J,1514245,M,East Midlands Region,Lower Than A Level,0-10%,35-55,1,90,N,Withdrawn
oulad_final_result_0217,valid,FFF,2013B,553727,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,90,N,Fail
oulad_final_result_1020,valid,EEE,2013J,584553,M,North Western Region,A Level or Equivalent,50-60%,0-35,0,30,N,Pass
oulad_final_result_0765,valid,DDD,2014J,350361,F,North Western Region,Lower Than A Level,80-90%,0-35,0,150,N,Withdrawn
oulad_final_result_0958,train,FFF,2013J,565608,F,North Western Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn
oulad_final_result_0268,valid,CCC,2014B,59541,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,30,Y,Withdrawn
oulad_final_result_0261,train,FFF,2013B,465312,F,North Region,A Level or Equivalent,,0-35,1,120,N,Pass
oulad_final_result_1422,train,BBB,2013B,549261,F,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass
oulad_final_result_1908,train,EEE,2014J,567681,M,Wales,Lower Than A Level,60-70%,0-35,0,90,N,Withdrawn
oulad_final_result_0410,train,DDD,2014B,327449,M,Wales,Lower Than A Level,50-60%,0-35,0,90,N,Fail
oulad_final_result_0626,train,BBB,2013B,478317,F,Scotland,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn
oulad_final_result_1888,train,CCC,2014J,1301103,M,East Midlands Region,A Level or Equivalent,60-70%,35-55,0,240,N,Pass
oulad_final_result_1581,train,CCC,2014B,338604,M,Scotland,A Level or Equivalent,80-90%,0-35,0,210,N,Pass
oulad_final_result_0034,test,BBB,2014B,626046,F,Yorkshire Region,Lower Than A Level,10-20,35-55,0,60,N,Distinction
oulad_final_result_0517,train,EEE,2014B,635041,M,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
oulad_final_result_0345,train,BBB,2013J,613200,F,Ireland,Lower Than A Level,30-40%,0-35,0,60,N,Pass
oulad_final_result_0843,train,DDD,2014J,647920,M,South East Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
oulad_final_result_1745,valid,DDD,2013J,547378,M,Wales,A Level or Equivalent,0-10%,0-35,1,120,N,Withdrawn
oulad_final_result_0821,valid,GGG,2014B,608907,F,South Region,Lower Than A Level,30-40%,35-55,1,60,N,Pass
oulad_final_result_1154,valid,BBB,2014B,625214,F,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
oulad_final_result_1394,train,BBB,2013B,492946,F,London Region,A Level or Equivalent,20-30%,0-35,1,120,N,Fail
oulad_final_result_0253,valid,BBB,2014B,611475,F,South East Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
oulad_final_result_1390,test,FFF,2014J,650054,F,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Withdrawn
oulad_final_result_0793,train,FFF,2013J,594547,M,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
oulad_final_result_0020,valid,DDD,2013B,476637,M,North Region,HE Qualification,80-90%,35-55,1,240,N,Distinction
oulad_final_result_1076,train,FFF,2013B,422280,F,South Region,A Level or Equivalent,60-70%,35-55,0,120,N,Withdrawn
oulad_final_result_0836,test,FFF,2014J,159947,M,Wales,HE Qualification,10-20,35-55,0,120,N,Fail
oulad_final_result_1889,test,BBB,2013B,500719,M,North Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
oulad_final_result_0148,valid,DDD,2013J,572688,M,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
oulad_final_result_1775,test,BBB,2013J,508422,M,Ireland,Lower Than A Level,40-50%,35-55,1,60,N,Fail
oulad_final_result_1677,train,EEE,2014J,682414,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Withdrawn
oulad_final_result_1942,train,DDD,2013J,586536,M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
oulad_final_result_1090,train,DDD,2014B,627071,M,Wales,A Level or Equivalent,20-30%,35-55,0,60,Y,Withdrawn
oulad_final_result_0818,train,FFF,2014J,636408,F,Wales,A Level or Equivalent,10-20,35-55,0,60,N,Pass
oulad_final_result_1498,train,BBB,2014B,320661,F,North Region,A Level or Equivalent,20-30%,0-35,0,180,N,Withdrawn
oulad_final_result_0909,train,AAA,2014J,1268696,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass
oulad_final_result_0224,train,DDD,2014J,420560,F,South West Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass
oulad_final_result_0916,train,FFF,2013B,522479,M,London Region,Lower Than A Level,20-30%,0-35,1,120,N,Fail
oulad_final_result_0782,test,CCC,2014B,570872,F,London Region,A Level or Equivalent,30-40%,0-35,0,90,Y,Pass
oulad_final_result_0931,train,BBB,2014B,571223,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
oulad_final_result_1184,train,BBB,2013J,409930,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
oulad_final_result_1610,train,EEE,2013J,603455,M,Ireland,Lower Than A Level,30-40%,35-55,0,60,N,Pass
oulad_final_result_1832,train,CCC,2014J,594627,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,120,N,Withdrawn
oulad_final_result_0643,train,GGG,2014B,627764,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,30,Y,Pass
oulad_final_result_1255,train,BBB,2013J,542562,F,South East Region,A Level or Equivalent,60-70%,0-35,1,270,Y,Withdrawn
oulad_final_result_1004,train,DDD,2014J,654341,M,South Region,Lower Than A Level,40-50%,35-55,0,120,N,Pass
oulad_final_result_0102,train,DDD,2014B,598102,M,London Region,HE Qualification,0-10%,0-35,0,60,N,Pass
oulad_final_result_1402,train,BBB,2013B,388360,F,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
oulad_final_result_1706,test,BBB,2013B,1413989,F,Scotland,HE Qualification,80-90%,35-55,2,60,N,Withdrawn
oulad_final_result_1848,train,FFF,2014J,575685,M,London Region,A Level or Equivalent,10-20,0-35,1,60,N,Fail
oulad_final_result_1280,train,CCC,2014J,196189,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
oulad_final_result_0921,test,BBB,2014J,258840,F,London Region,A Level or Equivalent,30-40%,0-35,1,60,N,Pass
oulad_final_result_1424,train,BBB,2013B,368439,F,London Region,Lower Than A Level,10-20,0-35,1,60,N,Fail
oulad_final_result_1457,valid,EEE,2014J,689288,M,East Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass
oulad_final_result_1278,train,BBB,2014J,2426442,F,North Region,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn
oulad_final_result_1632,test,BBB,2014J,398071,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
oulad_final_result_0536,train,CCC,2014J,694914,M,London Region,HE Qualification,10-20,35-55,0,210,N,Withdrawn
oulad_final_result_1222,train,CCC,2014J,619472,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn
oulad_final_result_0186,train,BBB,2013J,352339,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,90,Y,Withdrawn
oulad_final_result_0640,train,DDD,2013B,375300,F,North Region,HE Qualification,0-10%,0-35,0,60,N,Distinction
oulad_final_result_1840,train,FFF,2013J,1515509,M,East Midlands Region,Lower Than A Level,60-70%,35-55,0,90,N,Pass
oulad_final_result_1813,train,FFF,2014J,1603549,M,London Region,HE Qualification,70-80%,35-55,0,60,N,Pass
oulad_final_result_1545,valid,CCC,2014J,543953,F,South East Region,Lower Than A Level,50-60%,35-55,0,90,N,Withdrawn
oulad_final_result_1470,train,DDD,2014B,623210,M,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
oulad_final_result_1345,train,FFF,2014J,655852,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
oulad_final_result_0324,test,CCC,2014B,630471,M,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
oulad_final_result_0481,train,FFF,2014B,278155,F,South Region,Lower Than A Level,90-100%,35-55,0,90,N,Distinction
oulad_final_result_0543,test,BBB,2013B,540614,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
oulad_final_result_1531,train,CCC,2014B,623667,M,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
oulad_final_result_0196,test,FFF,2013B,167759,M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,1,180,N,Fail
oulad_final_result_0791,train,CCC,2014J,600796,F,Ireland,Lower Than A Level,80-90%,0-35,0,60,N,Pass
oulad_final_result_0541,train,GGG,2014J,649194,M,South Region,A Level or Equivalent,70-80%,0-35,0,30,N,Distinction
oulad_final_result_0824,test,FFF,2014J,294929,M,North Western Region,A Level or Equivalent,50-60%,35-55,0,90,N,Pass
